day,month,year,Temperature, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes
6,7,2012,35,42,15,0.3,84.7,15.5,45.1,4.3,16.7,6.3,1
12,8,2012,35,51,13,0.3,81.3,15.6,75.1,2.5,20.7,4.2,0
27,6,2012,34,53,18,0,89,21.6,80.3,9.2,25.8,15,1
18,7,2012,31,68,14,0,85.4,12.1,43.1,4.6,14.2,6,1
25,7,2012,39,64,9,1.2,73.8,11.7,15.9,1.1,11.4,0.7,0
21,8,2012,36,71,15,0,86,36.9,117.1,5.1,41.3,12.2,1
5,7,2012,33,66,14,0,85.9,7.6,27.9,4.8,9.1,4.9,1
16,8,2012,40,41,10,0.1,92,22.6,65.1,9.5,24.2,14.8,1
9,8,2012,39,43,12,0,91.7,16.5,30.9,9.6,16.4,12.7,1
24,9,2012,26,49,6,2,61.3,11.9,28.1,0.6,11.9,0.4,0
31,7,2012,37,55,15,0,89.3,28.3,67.2,8.3,28.3,14.5,1
28,6,2012,32,55,14,0,89.1,25.5,88.5,7.6,29.7,13.9,1
2,6,2012,30,73,13,4,55.7,2.7,7.8,0.6,2.9,0.2,0
25,6,2012,34,70,16,0,86,12.8,25.6,5.4,12.7,6.7,1
13,7,2012,34,81,15,0,81.8,9.7,37.2,3,11.7,3.4,0
16,7,2012,31,83,17,0,84.5,19.4,33.1,4.7,19.2,7.3,1
6,6,2012,31,67,14,0,82.6,5.8,22.2,3.1,7,2.5,1
11,7,2012,34,56,15,2.9,74.8,7.1,9.5,1.6,6.8,0.8,0
22,6,2012,31,67,17,0.1,79.1,7,39.5,2.4,9.7,2.3,0
20,8,2012,36,81,15,0,83.7,34.4,107,3.8,38.1,9,1
1,9,2012,25,76,17,7.2,46,1.3,7.5,0.2,1.8,0.1,0
1,7,2012,28,58,18,2.2,63.7,3.2,8.5,1.2,3.3,0.5,0
11,9,2012,30,73,14,0,79.2,6.5,16.6,2.1,6.6,1.2,0
12,6,2012,27,58,17,0,88.9,21.3,37.8,8.7,21.2,12.9,1
11,8,2012,40,31,15,0,94.2,22.5,46.3,16.6,22.4,21.6,1
26,8,2012,33,37,16,0,92.2,61.3,167.2,13.1,64,30.3,1
5,8,2012,34,42,17,0.1,88.3,23.6,52.5,19,23.5,12.6,1
